;time;IPO_entropy;IPO_complexity;IPO_fisher_shanon;IPO_edge_entropy;IPO_edge_complexity;IPO_edge_fisher_shannon;IPO_number_nodes;IPO_self_transition;IPD_entropy;IPD_complexity;IPD_fisher_shanon;IPD_edge_entropy;IPD_edge_complexity;IPD_edge_fisher_shannon;IPD_number_nodes;IPD_self_transition;MP_entropy;MP_complexity;MP_fisher_shanon;MP_edge_entropy;MP_edge_complexity;MP_edge_fisher_shannon;MP_number_nodes;MP_self_transition;TP_ICMP_entropy;TP_ICMP_complexity;TP_ICMP_fisher_shanon;TP_ICMP_edge_entropy;TP_ICMP_edge_complexity;TP_ICMP_edge_fisher_shannon;TP_ICMP_number_nodes;TP_ICMP_self_transition;TP_TCP_entropy;TP_TCP_complexity;TP_TCP_fisher_shanon;TP_TCP_edge_entropy;TP_TCP_edge_complexity;TP_TCP_edge_fisher_shannon;TP_TCP_number_nodes;TP_TCP_self_transition
1287;[1144, 1288];0.9883939873674372;0.0109899679589277;0.003582781148273914;0.9400664543100068;0.05624129096313678;0.060915077445469354;18.0;0.09929078014184398;0.9902294794415027;0.009582265790019253;0.009772070996608831;0.8441150748420817;0.1587359356990499;0.18830690677455195;16.0;0.014184397163120567;0.8352122912190906;0.13280581876372854;0.08154088665354242;0.8314454838586239;0.16576716623440743;0.17655386594490052;17.0;0.28368794326241137;0.9880643458705407;0.011960763831399672;0.0034205363557222703;0.6982834497884184;0.25203629550028395;0.3929191529655343;18.0;0.09929078014184398;0.9912347726128846;0.00868657573771863;0.008536719603714637;0.9681905137485697;0.03239630306032309;0.029962854577256316;16.0;0.02127659574468085
1288;[1145, 1289];0.9889847742693355;0.010370657703673052;0.003432117645162319;0.9400664543100068;0.05624129096313678;0.060915077445469354;18.0;0.09929078014184398;0.9888549586654833;0.010857713094293871;0.010565052873058367;0.8441150748420817;0.1587359356990499;0.18830690677455195;16.0;0.014184397163120567;0.8283734369314519;0.1369206277555149;0.085773014645701;0.8314454838586239;0.16576716623440743;0.17655386594490052;17.0;0.28368794326241137;0.9860022713831826;0.01416874600338996;0.004166806409233492;0.6982834497884184;0.25203629550028395;0.3929191529655343;18.0;0.09929078014184398;0.9898040573614028;0.01004496831788739;0.009437967088142811;0.9681905137485697;0.03239630306032309;0.029962854577256316;16.0;0.02127659574468085
1289;[1146, 1290];0.9903784132392076;0.009138426529210602;0.0030463152463210946;0.9488801212514659;0.05009849909615667;0.07260032500972276;18.0;0.09929078014184398;0.9891215512288337;0.010628872937187592;0.010618212172318259;0.8441150748420817;0.1587359356990499;0.18830690677455195;16.0;0.014184397163120567;0.8283734369314519;0.1369206277555149;0.085773014645701;0.8314454838586239;0.16576716623440743;0.17655386594490052;17.0;0.28368794326241137;0.9856938103206919;0.014453318550745118;0.004119888967387782;0.6982834497884184;0.25203629550028395;0.3929191529655343;18.0;0.09929078014184398;0.9899396137683368;0.009927307287031478;0.009240437203796569;0.9681905137485697;0.03239630306032309;0.029962854577256316;16.0;0.02127659574468085
1290;[1147, 1291];0.9889847742693356;0.010370657703673054;0.004338930751813982;0.9607329284860074;0.03998276446058072;0.042012192481623266;18.0;0.09929078014184398;0.9895587578702564;0.010234337907131604;0.009905877610073225;0.8441150748420817;0.1587359356990499;0.18830690677455195;16.0;0.014184397163120567;0.8333429461898216;0.13440962055620742;0.08540896768305534;0.8314454838586239;0.16576716623440743;0.17655386594490052;17.0;0.2765957446808511;0.9886169402244804;0.011477564858991169;0.0030951001762803544;0.8275159330075962;0.16685190854722026;0.26924184813109603;18.0;0.09929078014184398;0.9903768204097595;0.00953212848447042;0.008823780660641913;0.9681905137485697;0.03239630306032309;0.029962854577256316;16.0;0.02127659574468085
1291;[1148, 1292];0.9865350799182108;0.012652923143978981;0.005215714204007707;0.9607329284860074;0.03998276446058072;0.042012192481623266;18.0;0.10638297872340426;0.9875934501923387;0.012126114976171321;0.011533041862939498;0.8441150748420817;0.1587359356990499;0.18830690677455195;16.0;0.014184397163120567;0.8369904775660721;0.13276431440987507;0.08543791577685528;0.8314454838586239;0.16576716623440743;0.17655386594490052;17.0;0.2765957446808511;0.9881034748648917;0.011980027127433625;0.0025750552618109086;0.8275159330075962;0.16685190854722026;0.26924184813109603;18.0;0.09929078014184398;0.9891333357901564;0.01069644098074635;0.010169271617821626;0.9681905137485697;0.03239630306032309;0.029962854577256316;16.0;0.02127659574468085
1292;[1149, 1293];0.9859981962005533;0.013188170925851285;0.004733947748392259;0.9607329284860074;0.03998276446058072;0.042012192481623266;18.0;0.10638297872340426;0.9862982913477909;0.013357688398992311;0.012636775787942561;0.8441150748420817;0.1587359356990499;0.18830690677455195;16.0;0.014184397163120567;0.832081437716677;0.13528649479102334;0.08586877757215003;0.8314454838586239;0.16576716623440743;0.17655386594490052;17.0;0.2765957446808511;0.9872424194484613;0.012748253764896184;0.0029226755236825878;0.7372018207993071;0.2370628776150663;0.39203708685546584;18.0;0.09929078014184398;0.9876415771549383;0.012137246940066028;0.011137486607219572;0.9681905137485697;0.03239630306032309;0.029962854577256316;16.0;0.02127659574468085
1293;[1150, 1294];0.9864017524705728;0.012762509923064522;0.004329264209834863;0.9306282244165778;0.06882298225072127;0.0502404735808355;18.0;0.10638297872340426;0.9846671124230622;0.014995335997515994;0.014345591301503945;0.8441150748420817;0.1587359356990499;0.18830690677455195;16.0;0.014184397163120567;0.8333429461898216;0.13440962055620784;0.08182388846461892;0.8314454838586239;0.16576716623440743;0.17655386594490052;17.0;0.2765957446808511;0.9880643458705407;0.011960763831399672;0.0034205363557222703;0.6982834497884184;0.25203629550028395;0.3929191529655343;18.0;0.09929078014184398;0.9866009936928978;0.01325277696909956;0.012054005905744038;0.9681905137485697;0.03239630306032309;0.029962854577256316;16.0;0.02127659574468085
1294;[1151, 1295];0.9871352359789006;0.012021584941999404;0.0040489835855805996;0.9488801212514659;0.05009849909615574;0.041098950459462234;18.0;0.11347517730496454;0.9823565314523807;0.017209235823876727;0.016291992664419427;0.8441150748420817;0.1587359356990499;0.18830690677455195;16.0;0.014184397163120567;0.8369904775660721;0.13276431440987527;0.08198487749692523;0.8314454838586239;0.16576716623440743;0.17655386594490052;17.0;0.2765957446808511;0.9879005335967305;0.012117399606141159;0.003934392995088427;0.6982834497884184;0.25203629550028395;0.3929191529655343;18.0;0.09929078014184398;0.9869848241154471;0.012857008219336871;0.012408870308550597;0.9681905137485697;0.03239630306032309;0.029962854577256316;16.0;0.02127659574468085
1295;[1152, 1296];0.9886444903423485;0.010702704313722125;0.0036998872226898273;0.9789848253208955;0.020031194717032096;0.0054005401299417055;18.0;0.11347517730496454;0.9827819535324808;0.016753181066425153;0.015292353625632808;0.8441150748420817;0.1587359356990499;0.18830690677455195;16.0;0.014184397163120567;0.8369904775660721;0.13276431440987507;0.08543791577685528;0.8314454838586239;0.16576716623440743;0.17655386594490052;17.0;0.2765957446808511;0.9870699266999445;0.012843694855154396;0.004503046448653562;0.6982834497884184;0.25203629550028395;0.3929191529655343;18.0;0.09929078014184398;0.9876415771549383;0.012137246940066028;0.011137486607219572;0.9681905137485697;0.03239630306032309;0.029962854577256316;16.0;0.02127659574468085
1296;[1153, 1297];0.9877471945602105;0.01160246498840449;0.003199038158445188;0.9789848253208955;0.020031194717033057;0.023350869007568574;18.0;0.11347517730496454;0.9827819535324808;0.016753181066424913;0.015669238608006692;0.8441150748420817;0.1587359356990499;0.18830690677455195;16.0;0.014184397163120567;0.8369904775660721;0.13276431440987507;0.08543791577685528;0.8314454838586239;0.16576716623440743;0.17655386594490052;17.0;0.2765957446808511;0.9838971454640961;0.01601467363673868;0.0057525631005723174;0.6982834497884184;0.25203629550028395;0.3929191529655343;18.0;0.09929078014184398;0.9866009936928978;0.01325277696909956;0.012054005905744038;0.9681905137485697;0.03239630306032309;0.029962854577256316;16.0;0.02127659574468085
1297;[1154, 1298];0.9877471945602105;0.01160246498840449;0.003199038158445188;0.9789848253208955;0.020031194717033057;0.02243762698540755;18.0;0.11347517730496454;0.9823565314523807;0.017209235823876727;0.016291992664419427;0.8441150748420817;0.1587359356990499;0.18830690677455195;16.0;0.014184397163120567;0.832081437716677;0.13528649479102334;0.08586877757215003;0.8314454838586239;0.16576716623440743;0.17655386594490052;17.0;0.2765957446808511;0.9813968358004872;0.01868675804158074;0.0064193908873443955;0.6982834497884184;0.25203629550028395;0.3929191529655343;18.0;0.09929078014184398;0.9869848241154471;0.012857008219336871;0.012408870308550597;0.9681905137485697;0.03239630306032309;0.029962854577256316;16.0;0.02127659574468085
1298;[1155, 1299];0.9882840782778678;0.011065380934893178;0.0031683047508913854;0.9789848253208955;0.020031194717033057;0.02243762698540755;18.0;0.12056737588652483;0.9827819535324808;0.016753181066425153;0.015292353625632808;0.8576611402529865;0.1510811565075869;0.16456054123524055;16.0;0.014184397163120567;0.8283734369314519;0.1369206277555149;0.085773014645701;0.8314454838586239;0.16576716623440743;0.17655386594490052;17.0;0.28368794326241137;0.9834051380325471;0.016481322785985804;0.005899683866373552;0.7925820742559411;0.19044937396330971;0.2352457514062632;18.0;0.09929078014184398;0.9876415771549383;0.012137246940066028;0.011137486607219572;0.9681905137485697;0.03239630306032309;0.029962854577256316;16.0;0.02127659574468085
1299;[1156, 1300];0.987343638290191;0.012029195013857675;0.0037010756443747557;0.9789848253208955;0.020031194717033057;0.02243762698540755;18.0;0.12056737588652483;0.9850925345031623;0.014537217509437199;0.013420947791459277;0.8576611402529865;0.1510811565075869;0.16456054123524055;16.0;0.014184397163120567;0.8333429461898216;0.13440962055620784;0.08182388846461892;0.8314454838586239;0.16576716623440743;0.17655386594490052;17.0;0.28368794326241137;0.9832264238928499;0.016658104776358748;0.005041268705256111;0.7925820742559411;0.19044937396330971;0.2352457514062632;18.0;0.09929078014184398;0.9866009936928978;0.01325277696909956;0.012054005905744038;0.9681905137485697;0.03239630306032309;0.029962854577256316;16.0;0.02127659574468085
1300;[1157, 1301];0.9851009004184152;0.01408320706892912;0.004472415834345116;0.9789848253208955;0.020031194717033057;0.023350869007568574;18.0;0.12056737588652483;0.9852329342348254;0.014414209829944654;0.013166653937129555;0.8576611402529865;0.1510811565075869;0.16456054123524055;16.0;0.014184397163120567;0.832081437716677;0.13528649479102334;0.08586877757215003;0.8314454838586239;0.16576716623440743;0.17655386594490052;17.0;0.28368794326241137;0.981996597196788;0.017715890626859323;0.005089938133948343;0.7925820742559411;0.19044937396330971;0.2352457514062632;18.0;0.09929078014184398;0.9857790672708183;0.014037993768583395;0.01299955001440729;0.9681905137485697;0.03239630306032309;0.029962854577256316;16.0;0.02127659574468085
1301;[1158, 1302];0.9862890862963953;0.013073375590099566;0.0035088021378610105;0.9607329284860074;0.03998276446058072;0.02750901700856843;18.0;0.11347517730496454;0.9852329342348254;0.014414209829944654;0.012940472892835068;0.9681905137485697;0.03239630306032309;0.029962854577256316;16.0;0.014184397163120567;0.824884784500361;0.13969465109186163;0.09065571642361608;0.8314454838586239;0.16576716623440743;0.17655386594490052;17.0;0.28368794326241137;0.9837398892524387;0.016160625857214755;0.005151160824602765;0.7925820742559411;0.19044937396330971;0.2352457514062632;18.0;0.09929078014184398;0.9862288638309603;0.01354064194304209;0.012102074164580904;0.9681905137485697;0.03239630306032309;0.029962854577256316;16.0;0.02127659574468085
1302;[1159, 1303];0.9880323783520462;0.011502844641970296;0.003388899433456595;0.9908376325554372;0.00919559653943412;0.009470673228154095;18.0;0.11347517730496454;0.9852329342348254;0.014414209829944171;0.013119062450558636;0.9681905137485697;0.03239630306032309;0.029962854577256316;16.0;0.014184397163120567;0.8196372565060924;0.1423098142027454;0.09485504651128651;0.8314454838586239;0.16576716623440743;0.17655386594490052;17.0;0.2907801418439716;0.9838971454640961;0.01601467363673868;0.0057525631005723174;0.8315004452668298;0.1670684297965183;0.19057221127383414;18.0;0.09929078014184398;0.98518828036892;0.014653057275475435;0.012917804411063306;0.9681905137485697;0.03239630306032309;0.029962854577256316;16.0;0.02127659574468085
1303;[1160, 1304];0.9885243857835952;0.011031444340705058;0.004140147022061407;0.9725857357205491;0.029601987753304738;0.016746824526945165;18.0;0.12056737588652483;0.9852329342348254;0.014414209829944654;0.013166653937129555;0.9681905137485697;0.03239630306032309;0.029962854577256316;16.0;0.014184397163120567;0.8211172305799879;0.1412995032619876;0.09046625574615275;0.8314454838586239;0.16576716623440743;0.17655386594490052;17.0;0.2907801418439716;0.9838971454640962;0.016014673636738922;0.006686712025250723;0.8315004452668298;0.1670684297965183;0.19057221127383414;18.0;0.09929078014184398;0.9857790672708183;0.014037993768583395;0.01299955001440729;0.9681905137485697;0.03239630306032309;0.029962854577256316;16.0;0.02127659574468085
1304;[1161, 1305];0.988524385783595;0.011031444340705056;0.004335440074971337;0.9908376325554372;0.00919559653943412;0.00631378215210273;18.0;0.12765957446808512;0.9831408188648947;0.01639362556218945;0.01478951661065284;0.9681905137485697;0.03239630306032309;0.029962854577256316;16.0;0.014184397163120567;0.824884784500361;0.13969465109186163;0.09065571642361608;0.8314454838586239;0.16576716623440743;0.17655386594490052;17.0;0.28368794326241137;0.9842318966839878;0.015693651935330382;0.006761630380735248;0.8315004452668298;0.1670684297965183;0.19057221127383414;18.0;0.09929078014184398;0.9838137595929007;0.015914791761832664;0.01445710984071543;0.9681905137485697;0.03239630306032309;0.029962854577256316;16.0;0.02127659574468085
1305;[1162, 1306];0.9886881980574053;0.010874527173357724;0.005109135473685515;0.9908376325554372;0.00919559653943412;0.00631378215210273;18.0;0.12765957446808512;0.9835342191202581;0.016063142776358046;0.014683796071684352;0.9681905137485697;0.03239630306032309;0.029962854577256316;16.0;0.014184397163120567;0.824884784500361;0.13969465109186163;0.09065571642361608;0.8314454838586239;0.16576716623440743;0.17655386594490052;17.0;0.28368794326241137;0.9830020699879259;0.016753768591863717;0.007083711930125743;0.8315004452668298;0.1670684297965183;0.19057221127383414;18.0;0.09929078014184398;0.9812838840514183;0.01844719420749306;0.016892656333879635;0.9681905137485697;0.03239630306032309;0.029962854577256316;16.0;0.02127659574468085
1306;[1163, 1307];0.9863541190998564;0.013064000731652892;0.006092020451940456;0.9789848253208955;0.020031194717033057;0.023350869007568574;18.0;0.12765957446808512;0.9835342191202581;0.016063142776358046;0.014683796071684354;0.9681905137485697;0.03239630306032309;0.029962854577256316;16.0;0.014184397163120567;0.8196372565060924;0.1423098142027454;0.09485504651128651;0.8314454838586239;0.16576716623440743;0.17655386594490052;17.0;0.2907801418439716;0.9813218766783968;0.018220430892692104;0.007040187667618602;0.8616051493362593;0.14525605675646305;0.15100604012805394;18.0;0.10638297872340426;0.9812838840514183;0.01844719420749306;0.016892656333879635;0.9681905137485697;0.03239630306032309;0.029962854577256316;16.0;0.02127659574468085
1307;[1164, 1308];0.9886881980574053;0.010874527173357724;0.005109135473685515;0.9789848253208955;0.020031194717033057;0.023350869007568574;18.0;0.12056737588652483;0.9831408188648947;0.01639362556218945;0.01478951661065284;0.9681905137485697;0.03239630306032309;0.029962854577256316;16.0;0.014184397163120567;0.8211172305799879;0.1412995032619876;0.09046625574615275;0.8314454838586239;0.16576716623440743;0.17655386594490052;17.0;0.2907801418439716;0.9813218766783968;0.01822043089269306;0.007899342545415999;0.8616051493362593;0.14525605675646305;0.15100604012805394;18.0;0.10638297872340426;0.9826965973753963;0.01705808441666728;0.01619582166595088;0.9681905137485697;0.03239630306032309;0.029962854577256316;16.0;0.02127659574468085
1308;[1165, 1309];0.9909031570673826;0.008770838650020438;0.004076577963188162;0.9789848253208955;0.020031194717033057;0.023350869007568574;18.0;0.12056737588652483;0.9835342191202581;0.016063142776358046;0.014683796071684352;0.9681905137485697;0.03239630306032309;0.029962854577256316;16.0;0.014184397163120567;0.824884784500361;0.13969465109186163;0.09065571642361608;0.8314454838586239;0.16576716623440743;0.17655386594490052;17.0;0.28368794326241137;0.9826673187680344;0.017074014669271786;0.007608738303305487;0.8616051493362593;0.14525605675646305;0.15100604012805394;18.0;0.10638297872340426;0.9826965973753963;0.01705808441666728;0.016013394365307364;0.9681905137485697;0.03239630306032309;0.029962854577256316;16.0;0.02127659574468085
1309;[1166, 1310];0.9897989048058955;0.009896754796006652;0.00414664169655098;0.9789848253208955;0.020031194717033057;0.023350869007568574;18.0;0.12056737588652483;0.9833157535195073;0.01630047662576372;0.015012088325080549;0.9681905137485697;0.03239630306032309;0.029962854577256316;16.0;0.014184397163120567;0.824884784500361;0.13969465109186163;0.09065571642361608;0.8314454838586239;0.16576716623440743;0.17655386594490052;17.0;0.2765957446808511;0.9826673187680344;0.017074014669272025;0.008901509342285913;0.8226867783253707;0.17108057144099226;0.19946612311810305;18.0;0.10638297872340426;0.983249191729336;0.01658044820559143;0.015458102147320511;0.9681905137485697;0.03239630306032309;0.029962854577256316;16.0;0.02127659574468085
1310;[1167, 1311];0.9896350925320855;0.01005401414379428;0.004091563919380267;0.9789848253208955;0.020031194717033057;0.023350869007568574;18.0;0.12056737588652483;0.9833157535195073;0.0163004766257642;0.015234228685966529;0.9681905137485697;0.03239630306032309;0.029962854577256316;16.0;0.014184397163120567;0.824884784500361;0.13969465109186163;0.09065571642361608;0.8729584129369051;0.13850724725576805;0.12526960902465767;17.0;0.28368794326241137;0.9806590165359744;0.01927652999178204;0.009846199399505644;0.8226867783253707;0.17108057144099226;0.19946612311810305;18.0;0.10638297872340426;0.9816874403214378;0.018025782087651834;0.01724858208351126;0.9681905137485697;0.03239630306032309;0.029962854577256316;16.0;0.02127659574468085
1311;[1168, 1312];0.9894778363204279;0.010201794611354991;0.0033887981714727953;0.9607329284860076;0.03998276446058072;0.03287066936024999;18.0;0.12056737588652483;0.98303979738091;0.016538910284756375;0.015657861643087422;0.9681905137485697;0.03239630306032309;0.029962854577256316;16.0;0.014184397163120567;0.8196372565060924;0.1423098142027454;0.09127858195189806;0.8729584129369051;0.13850724725576805;0.12526960902465767;17.0;0.2907801418439716;0.9804880775898931;0.019440969831216043;0.00947561788783002;0.8226867783253707;0.17108057144099226;0.19946612311810305;18.0;0.10638297872340426;0.9811348459674981;0.018501815999235567;0.01787429035909105;0.9681905137485697;0.03239630306032309;0.029962854577256316;16.0;0.02127659574468085
1312;[1169, 1313];0.9913629952110095;0.008419078202324898;0.002819089173640157;0.967132018086354;0.030601750822931005;0.04289321881345246;18.0;0.12056737588652483;0.9834467896759236;0.016190467120019824;0.015203104958811066;0.9681905137485697;0.03239630306032309;0.029962854577256316;16.0;0.014184397163120567;0.811928692592471;0.14695555548865954;0.09661479391498612;0.8729584129369051;0.13850724725576805;0.12526960902465767;17.0;0.2978723404255319;0.9826673187680344;0.017074014669272025;0.008901509342285913;0.8616051493362593;0.14525605675646305;0.15100604012805394;18.0;0.10638297872340426;0.9816874403214378;0.018025782087651834;0.017074639179583545;0.9473312030801265;0.053342799236519925;0.038278456061588945;16.0;0.02127659574468085
1313;[1170, 1314];0.9913629952110095;0.008419078202324898;0.002819089173640157;0.8616051493362595;0.14525605675646372;0.17715549461928992;18.0;0.12056737588652483;0.9833157535195073;0.0163004766257642;0.015234228685966529;0.9681905137485697;0.03239630306032309;0.029962854577256316;16.0;0.014184397163120567;0.8065646989381772;0.1494807828952214;0.10080654725645977;0.8729584129369051;0.13850724725576805;0.12526960902465767;17.0;0.3049645390070922;0.9826673187680344;0.017074014669272025;0.008901509342285913;0.873457956570801;0.13748854455069606;0.1259530781775641;18.0;0.10638297872340426;0.9816874403214378;0.018025782087651834;0.017074639179583545;0.9473312030801265;0.053342799236519925;0.038278456061588945;16.0;0.02127659574468085
1314;[1171, 1315];0.9918998789286669;0.007878259064620736;0.0027418966558658926;0.8315004452668298;0.1670684297965191;0.20532645986757098;18.0;0.12056737588652483;0.98303979738091;0.016538910284756375;0.015657861643087422;0.9681905137485697;0.03239630306032309;0.029962854577256316;16.0;0.014184397163120567;0.8037247179145762;0.151921313812631;0.10257582557653444;0.9566504715755689;0.04270672693661957;0.03196282969008977;17.0;0.3049645390070922;0.9826673187680344;0.017074014669272025;0.008901509342285913;0.873457956570801;0.13748854455069606;0.1259530781775641;18.0;0.10638297872340426;0.9816874403214378;0.018025782087651834;0.017074639179583545;0.9473312030801265;0.053342799236519925;0.038278456061588945;16.0;0.02127659574468085
1315;[1172, 1316];0.991069272031881;0.00861112924015194;0.0033105501094310274;0.9488801212514659;0.05009849909615667;0.04513019577941448;18.0;0.12056737588652483;0.9834467896759236;0.016190467120019824;0.015203104958811066;0.9681905137485697;0.03239630306032309;0.029962854577256316;16.0;0.014184397163120567;0.8090702098220219;0.14677770964202871;0.10157368331298942;0.9151375424972876;0.0781069856660928;0.08634630423784287;17.0;0.3049645390070922;0.9809871254585053;0.018539609568481687;0.01037920522679222;0.8941244307468018;0.12445959768558607;0.09823729810778066;18.0;0.11347517730496454;0.9801291249385339;0.019540727373583283;0.017912229558556383;0.9473312030801265;0.053342799236519925;0.038278456061588945;16.0;0.02127659574468085
1316;[1173, 1317];0.9905772646003318;0.009084973517078928;0.002692390576205829;0.9488801212514659;0.05009849909615667;0.04513019577941448;18.0;0.11347517730496454;0.9810316854378639;0.018551208316450685;0.017658929686987658;0.9681905137485697;0.03239630306032309;0.029962854577256316;16.0;0.014184397163120567;0.8133901649195183;0.14330352506637478;0.09539804900477752;0.9151375424972876;0.0781069856660928;0.09849048789145738;17.0;0.3049645390070922;0.9795293721848083;0.019767319506985903;0.01090811320481654;0.8941244307468018;0.12445959768558607;0.09823729810778066;18.0;0.12056737588652482;0.9801291249385339;0.0195407273735828;0.018146967472837217;0.9473312030801265;0.053342799236519925;0.038278456061588945;16.0;0.02127659574468085
1317;[1174, 1318];0.9905772646003318;0.009084973517078928;0.002692390576205829;0.8315004452668298;0.1670684297965191;0.20532645986757098;18.0;0.11347517730496454;0.9788479121591955;0.02064489113529394;0.019788037277219454;0.9681905137485697;0.03239630306032309;0.029962854577256316;16.0;0.014184397163120567;0.813158833960127;0.14347890831858673;0.0921534201072591;0.8440884782421348;0.15855819953232728;0.1772598579149277;17.0;0.3049645390070922;0.9777986160226301;0.02122602416952963;0.01092975693384403;0.8941244307468018;0.12445959768558607;0.09823729810778066;18.0;0.12765957446808512;0.9810316854378639;0.018551208316450685;0.017260628271504243;0.9681905137485697;0.03239630306032309;0.029962854577256316;16.0;0.02127659574468085
1318;[1175, 1319];0.9900403808826743;0.009624405717033931;0.002769583093980093;0.8315004452668298;0.1670684297965191;0.20532645986757098;18.0;0.11347517730496454;0.9790663777599464;0.020409638003737907;0.0191871276916283;0.9681905137485697;0.03239630306032309;0.029962854577256316;16.0;0.014184397163120567;0.813158833960127;0.14347890831858673;0.0921534201072591;0.8856014073204163;0.13030509801016818;0.11719876782219181;17.0;0.3049645390070922;0.9759616210723518;0.022756814836944347;0.011602346528646005;0.873457956570801;0.13748854455069606;0.1259530781775641;18.0;0.1347517730496454;0.9791145047225459;0.020421091289942593;0.018749870104949693;0.9681905137485697;0.03239630306032309;0.029962854577256316;16.0;0.02127659574468085
1319;[1176, 1320];0.992132496252605;0.007616336310995528;0.001988236501156213;0.8315004452668298;0.1670684297965191;0.20532645986757098;18.0;0.10638297872340424;0.9783707737399652;0.021178181370187704;0.020459223903722158;0.9681905137485697;0.03239630306032309;0.029962854577256316;16.0;0.014184397163120567;0.813158833960127;0.14347890831858673;0.0921534201072591;0.8856014073204163;0.13030509801016818;0.11719876782219181;17.0;0.2978723404255319;0.9777986160226301;0.02122602416952963;0.011618929418711142;0.8941244307468018;0.12445959768558607;0.09823729810778066;18.0;0.12765957446808512;0.9763267853326342;0.023140449382095116;0.02146718159025092;0.9681905137485697;0.03239630306032309;0.029962854577256316;16.0;0.02127659574468085
1320;[1177, 1321];0.9929935516690355;0.0068397440208509625;0.0019514477438133527;0.9488801212514659;0.05009849909615667;0.05273549718498637;18.0;0.10638297872340424;0.9788479121591955;0.02064489113529394;0.019788037277219454;0.9681905137485697;0.03239630306032309;0.029962854577256316;16.0;0.014184397163120567;0.81830436201367;0.14104032085689608;0.08827204047997159;0.8856014073204163;0.13030509801016818;0.11719876782219181;17.0;0.2978723404255319;0.9795293721848083;0.019767319506985903;0.01090811320481654;0.8822716235122601;0.1326740121853418;0.07995425186503415;18.0;0.12765957446808512;0.9770223893526151;0.022374971513250793;0.02072461058898286;0.9681905137485697;0.03239630306032309;0.029962854577256316;16.0;0.02127659574468085
1321;[1178, 1322];0.9929935516690355;0.0068397440208509625;0.0019514477438133527;0.967132018086354;0.030601750822931005;0.04289321881345246;18.0;0.10638297872340424;0.9790663777599464;0.020409638003737907;0.0191871276916283;0.9681905137485697;0.03239630306032309;0.029962854577256316;16.0;0.014184397163120567;0.8170428535405253;0.14188370831255415;0.09259829622832176;0.8856014073204163;0.13030509801016818;0.11719876782219181;17.0;0.2978723404255319;0.9795293721848083;0.019767319506985903;0.01090811320481654;0.8616051493362595;0.14525605675646372;0.09504204134481407;18.0;0.12765957446808512;0.9765725927924731;0.02286349545561251;0.0208555534743702;0.9681905137485697;0.03239630306032309;0.029962854577256316;16.0;0.02127659574468085
1322;[1179, 1323];0.9929935516690355;0.0068397440208509625;0.0019514477438133527;0.967132018086354;0.030601750822931005;0.04289321881345246;18.0;0.10638297872340424;0.9810316854378639;0.01855120831645116;0.01765150273902229;0.9681905137485697;0.03239630306032309;0.029962854577256316;16.0;0.014184397163120567;0.81830436201367;0.14104032085689608;0.08827204047997159;0.8856014073204163;0.13030509801016818;0.11719876782219181;17.0;0.2978723404255319;0.9795293721848083;0.019767319506985903;0.01090811320481654;0.8822716235122601;0.1326740121853418;0.07995425186503415;18.0;0.12765957446808512;0.9784577516830547;0.021128937671050955;0.01899734848454129;0.988762155916294;0.011020915954694937;0.013469401924485844;17.0;0.028368794326241134
1323;[1180, 1324];0.9929935516690355;0.0068397440208509625;0.0019514477438133527;0.967132018086354;0.030601750822931005;0.04289321881345246;18.0;0.09929078014184398;0.9810316854378639;0.018551208316450685;0.017658929686987658;0.9681905137485697;0.03239630306032309;0.029962854577256316;16.0;0.014184397163120567;0.822130580149916;0.13942928969866863;0.08878006418596324;0.8856014073204163;0.13030509801016818;0.11719876782219181;17.0;0.2907801418439716;0.9795293721848083;0.019767319506985903;0.01090811320481654;0.8822716235122601;0.1326740121853418;0.07995425186503415;18.0;0.12765957446808512;0.9807418197646981;0.01889034152466723;0.017251602658099725;0.988762155916294;0.011020915954694937;0.013469401924485844;17.0;0.028368794326241134
1324;[1181, 1325];0.9929935516690355;0.0068397440208509625;0.0019514477438133527;0.967132018086354;0.030601750822931005;0.04289321881345246;18.0;0.09929078014184398;0.9788479121591955;0.02064489113529394;0.019788037277219454;0.9681905137485697;0.03239630306032309;0.029962854577256316;16.0;0.014184397163120567;0.822130580149916;0.13942928969866863;0.08878006418596324;0.8856014073204163;0.13030509801016818;0.11719876782219181;17.0;0.28368794326241137;0.9797003111308897;0.019603104008622217;0.009248435364082826;0.8941244307468018;0.12445959768558607;0.09823729810778066;18.0;0.12765957446808512;0.9828903314394074;0.01675698293324134;0.015121777106309665;0.988762155916294;0.011020915954694937;0.013469401924485844;17.0;0.028368794326241134
1325;[1182, 1326];0.9929935516690355;0.0068397440208509625;0.0019514477438133527;0.9607329284860076;0.03998276446058072;0.03287066936024999;18.0;0.10638297872340424;0.9771491970446282;0.022271983024477648;0.020924304330867276;0.9681905137485697;0.03239630306032309;0.029962854577256316;16.0;0.014184397163120567;0.822130580149916;0.13942928969866863;0.08878006418596324;0.988762155916294;0.011020915954694937;0.010102051443364384;17.0;0.2907801418439716;0.9797003111308897;0.019603104008622217;0.009248435364082826;0.873457956570801;0.13748854455069606;0.1259530781775641;18.0;0.12765957446808512;0.9844520828473056;0.015307794631845312;0.013562374178873203;0.988762155916294;0.011020915954694937;0.013469401924485844;17.0;0.028368794326241134
